City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Weather Description
168,Skegness,GB,53.1436,0.3363,55.35,82,95,27.74,overcast clouds
169,Tanout,NE,14.9709,8.8879,56.52,29,0,16.8,clear sky
170,Marawi,PH,7.9986,124.2928,70.2,97,100,3.56,overcast clouds
171,Pangnirtung,CA,66.1451,-65.7125,-2.04,95,100,3.56,overcast clouds
172,General Roca,AR,-39.0333,-67.5833,74.62,32,0,9.48,clear sky
173,Nyanguge,TZ,-2.55,33.2,72.61,59,6,9.24,clear sky
174,Labuhan,ID,-6.8844,112.2051,83.25,75,100,15.17,overcast clouds
175,Bosaso,SO,11.2842,49.1816,78.35,65,19,5.41,few clouds
176,Kavieng,PG,-2.5744,150.7967,79.74,77,100,14.61,overcast clouds
177,Ilulissat,GL,69.2167,-51.1,-16.71,72,18,8.12,few clouds
178,Walvis Bay,NA,-22.9575,14.5053,65.08,79,100,8.95,overcast clouds
179,Victoria,HK,22.2855,114.1577,68.97,71,9,11.01,clear sky
180,Sao Sebastiao,BR,-23.76,-45.4097,75.51,86,99,4.59,overcast clouds
181,Santiago,CL,-33.4569,-70.6483,71.55,40,0,3.44,clear sky
182,Baker City,US,44.7749,-117.8344,29.64,86,100,3.44,overcast clouds
183,Muriwai Beach,NZ,-36.8167,174.45,64.47,96,100,21.0,overcast clouds
184,Nidzica,PL,53.3605,20.4275,31.59,93,100,6.71,overcast clouds
185,Cherskiy,RU,68.75,161.3,-48.35,100,62,3.49,broken clouds
186,Provideniya,RU,64.3833,-173.3,-4.04,93,93,6.64,overcast clouds
187,Hirara,JP,24.8,125.2833,67.35,72,98,23.29,overcast clouds
188,Pevek,RU,69.7008,170.3133,-32.91,96,100,5.23,overcast clouds
189,Chuy,UY,-33.6971,-53.4616,62.11,72,6,7.81,clear sky
190,Huambo,AO,-12.7761,15.7392,63.86,86,98,3.22,light rain
191,Geraldton,AU,-28.7667,114.6,104.41,17,5,23.02,clear sky
192,San Patricio,US,28.017,-97.5169,62.46,52,8,3.24,clear sky
193,Xai-Xai,MZ,-25.0519,33.6442,82.87,59,0,4.56,clear sky
194,Omboue,GA,-1.5746,9.2618,80.08,80,53,4.41,broken clouds
195,Ribeira Grande,PT,38.5167,-28.7,62.78,83,96,21.99,light rain
196,Caravelas,BR,-17.7125,-39.2481,73.38,95,100,4.68,overcast clouds
197,Norman Wells,CA,65.282,-126.8329,-5.1,96,100,5.03,overcast clouds
198,Sur,OM,22.5667,59.5289,74.52,35,6,18.97,clear sky
199,Ostrovnoy,RU,68.0531,39.5131,25.77,83,100,29.93,light snow
200,Alyangula,AU,-13.8483,136.4192,85.06,74,100,15.32,light rain
201,Hasaki,JP,35.7333,140.8333,50.4,31,78,13.94,broken clouds
202,Ambunti,PG,-4.2365,142.8448,80.22,90,100,2.15,overcast clouds
203,Soto La Marina,MX,23.7667,-98.2167,65.21,49,0,3.89,clear sky
204,Codrington,AU,-38.2667,141.9667,61.74,54,11,16.64,few clouds
205,Bilma,NE,18.6853,12.9164,56.05,36,0,6.71,clear sky
206,Rafai,CF,4.95,23.9167,82.49,28,14,7.25,few clouds
207,French Harbor,HN,16.35,-86.4333,79.07,88,21,5.01,few clouds
208,Barao De Melgaco,BR,-16.1944,-55.9675,74.86,87,100,5.46,overcast clouds
209,Acurenam,GQ,1.0322,10.6488,71.1,91,83,0.58,broken clouds
210,Esmeralda,CU,21.8525,-78.1169,71.4,90,1,6.67,clear sky
211,Akashi,JP,34.6333,134.9833,50.04,41,97,18.66,overcast clouds
212,Tecoanapa,MX,16.5167,-98.75,72.66,79,1,3.96,clear sky
213,Abu Zabad,SD,12.35,29.25,69.66,24,0,19.82,clear sky
214,Muros,ES,42.7762,-9.0603,55.09,89,100,8.37,overcast clouds
215,Ovsyanka,RU,55.9575,92.5519,-1.23,79,96,5.93,overcast clouds
216,Tuy Hoa,VN,13.0833,109.3,72.64,94,100,17.56,overcast clouds
217,Copiapo,CL,-27.3667,-70.3333,58.69,78,0,1.52,clear sky
218,Kota,IN,25.1833,75.8333,62.78,29,0,7.36,clear sky
219,Naze,JP,28.3667,129.4833,56.37,59,5,16.91,clear sky
220,Tambura,SS,5.6,27.4667,81.99,30,1,10.0,clear sky
221,Morgan City,US,29.6994,-91.2068,69.8,88,100,11.5,overcast clouds
222,Morada Nova,BR,-5.1067,-38.3725,75.78,78,100,4.97,overcast clouds
223,Oistins,BB,13.0667,-59.5333,77.09,83,40,18.41,light rain
224,Mangrol,IN,21.1167,70.1167,74.82,28,0,18.3,clear sky
225,Helong,CN,42.5397,128.9972,17.15,60,0,4.41,clear sky
226,Ranot,TH,7.7777,100.3213,81.36,72,98,12.06,overcast clouds
227,Santa Maria,BR,-29.6842,-53.8069,62.78,66,0,4.14,clear sky
228,Fougamou,GA,-1.2154,10.5838,75.58,93,96,0.49,overcast clouds
229,Port-Gentil,GA,-0.7193,8.7815,80.56,83,20,5.75,thunderstorm
230,Ranong,TH,9.9658,98.6348,85.93,59,100,9.89,moderate rain
231,Sao Filipe,CV,14.8961,-24.4956,74.98,60,100,9.62,overcast clouds
232,Souillac,MU,-20.5167,57.5167,86.38,54,40,11.5,scattered clouds
233,Krasnoselkup,RU,65.7,82.4667,-1.14,97,100,10.02,overcast clouds
234,Kirsanov,RU,52.6549,42.7224,33.91,92,95,15.86,overcast clouds
235,Te Anau,NZ,-45.4167,167.7167,66.11,64,100,3.87,overcast clouds
236,Chenghai,CN,23.4632,116.768,67.91,56,75,4.47,broken clouds
237,Healdsburg,US,38.6105,-122.8692,48.16,87,100,0.0,mist
238,Panguipulli,CL,-39.6333,-72.3333,48.43,97,80,2.59,broken clouds
239,Coihaique,CL,-45.5752,-72.0662,57.15,72,0,3.44,clear sky
240,Lacombe,CA,52.4668,-113.7353,13.32,89,100,6.53,overcast clouds
241,Millinocket,US,45.6573,-68.7098,33.91,93,100,0.0,overcast clouds
242,Saint-Philippe,RE,-21.3585,55.7679,85.59,75,100,10.13,overcast clouds
243,Nago,JP,26.5881,127.9761,64.83,57,9,13.58,clear sky
244,Chumikan,RU,54.7183,135.315,-5.62,76,12,20.36,few clouds
245,Hami,CN,42.8,93.45,27.72,37,100,3.31,overcast clouds
246,Alice Springs,AU,-23.7,133.8833,80.15,41,100,19.57,overcast clouds
247,Kenai,US,60.5544,-151.2583,30.29,69,20,25.32,few clouds
248,Kandrian,PG,-6.2167,149.55,81.46,74,100,16.78,overcast clouds
249,Magadi,IN,12.9667,77.2333,81.75,34,2,9.44,clear sky
250,Severo-Kurilsk,RU,50.6789,156.125,16.72,57,12,4.65,few clouds
251,Izumo,JP,35.3667,132.7667,44.55,49,75,13.8,broken clouds
252,Katherine,AU,-14.4667,132.2667,89.92,55,100,11.5,overcast clouds
253,Chokurdakh,RU,70.6333,147.9167,-45.51,100,59,1.28,broken clouds
254,Katsuura,JP,35.1333,140.3,47.89,49,7,2.55,clear sky
255,Serov,RU,59.6033,60.5787,-6.57,98,96,1.92,overcast clouds
256,Zaysan,KZ,47.4667,84.8667,28.27,74,100,14.58,overcast clouds
257,Udachnyy,RU,66.4167,112.4,-19.17,96,100,8.99,overcast clouds
258,Srednekolymsk,RU,67.45,153.6833,-29.88,95,100,3.65,overcast clouds
259,Talnakh,RU,69.4865,88.3972,-33.21,99,39,2.26,scattered clouds
260,Guaruja,BR,-23.9931,-46.2564,75.9,87,100,8.52,overcast clouds
261,Paamiut,GL,61.994,-49.6678,18.82,94,100,9.75,light snow
262,Saskylakh,RU,71.9167,114.0833,-44.41,100,87,5.08,overcast clouds
263,Lavrentiya,RU,65.5833,-171.0,-5.06,94,100,6.82,overcast clouds
264,Mercedes,AR,-34.6515,-59.4307,62.78,80,6,3.85,clear sky
265,Anshan,CN,41.1236,122.99,26.1,23,2,1.72,clear sky
266,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,82,75,20.6,broken clouds
267,Angoram,PG,-4.0625,144.0661,81.0,89,99,3.47,overcast clouds
