City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Dikson,RU,2022-12-21 04:35:34,73.5069,80.5464,-5.22,96,100,8.32
99,Butaritari,KI,2022-12-21 04:38:57,3.0707,172.7902,82.02,80,97,16.73
100,Sao Filipe,CV,2022-12-21 04:38:57,14.8961,-24.4956,76.21,61,3,12.64
101,Chuy,UY,2022-12-21 04:38:58,-33.6971,-53.4616,63.77,93,0,7.27
102,Bethel,US,2022-12-21 04:38:59,41.3712,-73.414,28.94,75,0,4.0
103,Mar Del Plata,AR,2022-12-21 04:34:53,-38.0023,-57.5575,69.87,88,16,24.0
104,Ostrovnoy,RU,2022-12-21 04:39:00,68.0531,39.5131,19.38,86,100,16.89
105,Ribeira Grande,PT,2022-12-21 04:35:48,38.5167,-28.7,64.78,95,99,14.0
106,Cap Malheureux,MU,2022-12-21 04:39:01,-19.9842,57.6142,80.47,65,9,8.99
107,Georgetown,MY,2022-12-21 04:35:29,5.4112,100.3354,85.93,78,20,7.0
108,Port-Gentil,GA,2022-12-21 04:39:02,-0.7193,8.7815,79.7,77,100,4.9
109,East London,ZA,2022-12-21 04:39:02,-33.0153,27.9116,59.94,94,100,5.75
110,College,US,2022-12-21 04:39:03,64.8569,-147.8028,-34.65,67,0,4.61
111,Ponta Do Sol,PT,2022-12-21 04:35:28,32.6667,-17.1,68.72,84,89,1.41
112,Bathsheba,BB,2022-12-21 04:38:23,13.2167,-59.5167,79.41,94,40,24.16
113,Thompson,CA,2022-12-21 04:39:05,55.7435,-97.8558,-7.44,71,100,6.91
114,Upernavik,GL,2022-12-21 04:39:05,72.7868,-56.1549,8.51,97,100,14.38
115,Saldanha,ZA,2022-12-21 04:39:06,-33.0117,17.9442,63.18,72,0,10.92
116,Aktash,RU,2022-12-21 04:39:07,50.3,87.7333,13.01,82,70,5.32
117,Mogok,MM,2022-12-21 04:39:08,22.9167,96.5,72.79,40,29,2.55
118,Santa Cruz,BO,2022-12-21 04:39:08,-17.8,-63.1667,76.46,83,18,4.61
119,Inhambane,MZ,2022-12-21 04:39:09,-23.865,35.3833,76.98,78,40,5.75
120,Batemans Bay,AU,2022-12-21 04:39:09,-35.7167,150.1833,69.1,54,71,9.84
121,Leshukonskoye,RU,2022-12-21 04:38:55,64.8989,45.7622,-5.66,98,100,4.76
122,Port Lincoln,AU,2022-12-21 04:39:11,-34.7333,135.8667,74.93,55,16,12.01
123,Airai,TL,2022-12-21 04:39:12,-8.9266,125.4092,64.11,87,100,3.29
124,Santa Catarina,BR,2022-12-21 04:36:08,-27.0,-50.0,57.81,99,67,1.1
125,Lebu,CL,2022-12-21 04:39:13,-37.6167,-73.65,56.26,96,19,6.96
126,Sitka,US,2022-12-21 04:39:14,57.0531,-135.33,19.29,58,0,5.75
127,Poum,NC,2022-12-21 04:39:14,-20.2333,164.0167,78.03,80,57,25.21
128,Moose Factory,CA,2022-12-21 04:39:15,51.2585,-80.6094,13.98,92,100,3.44
129,Carnarvon,AU,2022-12-21 04:39:15,-24.8667,113.6333,80.82,60,0,19.13
130,Tiarei,PF,2022-12-21 04:39:16,-17.5333,-149.3333,84.22,84,42,15.28
131,Najran,SA,2022-12-21 04:39:17,17.4924,44.1277,48.85,48,2,0.74
132,Pesochnoye,RU,2022-12-21 04:39:18,58.006,39.1772,-2.47,100,98,4.83
133,Mount Isa,AU,2022-12-21 04:36:59,-20.7333,139.5,91.17,38,81,9.22
134,Longyearbyen,SJ,2022-12-21 04:35:49,78.2186,15.6401,10.24,72,40,10.36
135,Dukat,RU,2022-12-21 04:40:21,62.55,155.55,15.31,96,86,6.6
136,Norman Wells,CA,2022-12-21 04:40:21,65.282,-126.8329,-43.56,66,20,0.0
137,Pittsburg,US,2022-12-21 04:38:24,38.028,-121.8847,50.0,80,20,3.44
138,Rancho Palos Verdes,US,2022-12-21 04:40:22,33.7445,-118.387,59.92,81,2,3.0
139,Gizo,SB,2022-12-21 04:40:23,-8.103,156.8419,85.21,69,85,6.76
140,Port Alfred,ZA,2022-12-21 04:40:23,-33.5906,26.891,61.18,95,98,7.58
141,Fort Nelson,CA,2022-12-21 04:40:24,58.8053,-122.7002,-44.01,66,0,2.3
142,Korla,CN,2022-12-21 04:39:15,41.7597,86.1469,24.24,41,82,5.53
143,Touros,BR,2022-12-21 04:40:25,-5.1989,-35.4608,77.31,82,15,8.21
144,Caravelas,BR,2022-12-21 04:40:26,-17.7125,-39.2481,74.41,92,97,9.22
145,Karratha,AU,2022-12-21 04:38:11,-20.7377,116.8463,83.82,47,18,16.6
146,Haines Junction,CA,2022-12-21 04:40:28,60.7522,-137.5108,-34.65,67,100,1.14
147,La Ronge,CA,2022-12-21 04:40:29,55.1001,-105.2842,-21.75,69,99,3.44
